Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"01/01/2018 01","45.90","22.15","10221.0"
"01/01/2018 02","45.25","22.19","10082.0"
"01/01/2018 03","40.00","22.22","9949.0"
"01/01/2018 04","39.97","22.25","9886.0"
"01/01/2018 05","39.99","22.28","9930.0"
"01/01/2018 06","40.02","22.31","9974.0"
"01/01/2018 07","40.02","22.34","10047.0"
"01/01/2018 08","37.95","22.37","10055.0"
"01/01/2018 09","36.43","22.39","10087.0"
"01/01/2018 10","36.43","22.42","10137.0"
"01/01/2018 11","36.43","22.44","10232.0"
"01/01/2018 12","36.43","22.46","10296.0"
"01/01/2018 13","35.77","22.49","10298.0"
"01/01/2018 14","34.54","22.51","10270.0"
"01/01/2018 15","34.92","22.53","10258.0"
"01/01/2018 16","34.54","22.55","10310.0"
"01/01/2018 17","35.10","22.57","10620.0"
"01/01/2018 18","36.43","22.58","10970.0"
"01/01/2018 19","36.43","22.59","10841.0"
"01/01/2018 20","35.74","22.60","10706.0"
"01/01/2018 21","35.23","22.61","10541.0"
"01/01/2018 22","33.53","22.61","10301.0"
"01/01/2018 23","32.09","22.61","10011.0"
"01/01/2018 24","31.74","22.62","9728.0"
"01/02/2018 01","31.74","22.62","9559.0"
"01/02/2018 02","31.74","22.64","9411.0"
"01/02/2018 03","31.62","22.65","9330.0"
"01/02/2018 04","30.70","22.67","9304.0"
"01/02/2018 05","31.57","22.68","9353.0"
"01/02/2018 06","32.58","22.70","9508.0"
"01/02/2018 07","34.48","22.72","9884.0"
"01/02/2018 08","34.69","22.73","10282.0"
"01/02/2018 09","34.54","22.74","10518.0"
"01/02/2018 10","34.54","22.75","10538.0"
"01/02/2018 11","34.39","22.76","10602.0"
"01/02/2018 12","34.54","22.77","10584.0"
"01/02/2018 13","34.54","22.79","10574.0"
"01/02/2018 14","34.54","22.81","10571.0"
"01/02/2018 15","34.54","22.83","10517.0"
"01/02/2018 16","34.20","22.85","10542.0"
"01/02/2018 17","32.80","22.86","10760.0"
"01/02/2018 18","33.25","22.88","11008.0"
"01/02/2018 19","33.25","22.89","10913.0"
"01/02/2018 20","33.23","22.90","10821.0"
"01/02/2018 21","33.25","22.91","10670.0"
"01/02/2018 22","33.25","22.93","10466.0"
"01/02/2018 23","32.65","22.94","10141.0"
"01/02/2018 24","31.96","22.96","9872.0"
"01/03/2018 01","31.74","22.98","9622.0"
"01/03/2018 02","31.74","22.99","9490.0"
"01/03/2018 03","31.45","23.01","9397.0"
"01/03/2018 04","31.14","23.03","9391.0"
"01/03/2018 05","30.59","23.04","9394.0"
"01/03/2018 06","31.60","23.06","9586.0"
"01/03/2018 07","33.51","23.08","9954.0"
"01/03/2018 08","33.81","23.10","10344.0"
"01/03/2018 09","35.74","23.12","10612.0"
"01/03/2018 10","36.43","23.14","10622.0"
"01/03/2018 11","36.43","23.16","10611.0"
"01/03/2018 12","36.43","23.18","10621.0"
"01/03/2018 13","35.55","23.19","10555.0"
"01/03/2018 14","33.77","23.21","10458.0"
"01/03/2018 15","34.54","23.23","10509.0"
"01/03/2018 16","34.54","23.25","10526.0"
"01/03/2018 17","35.58","23.27","10741.0"
"01/03/2018 18","36.43","23.29","10988.0"
"01/03/2018 19","36.43","23.32","10872.0"
"01/03/2018 20","36.43","23.35","10732.0"
"01/03/2018 21","34.91","23.37","10565.0"
"01/03/2018 22","34.19","23.39","10344.0"
"01/03/2018 23","32.04","23.41","9998.0"
"01/03/2018 24","31.74","23.44","9717.0"
"01/04/2018 01","29.76","23.46","9489.0"
"01/04/2018 02","27.37","23.47","9361.0"
"01/04/2018 03","27.18","23.49","9291.0"
"01/04/2018 04","27.18","23.51","9347.0"
"01/04/2018 05","27.61","23.52","9420.0"
"01/04/2018 06","28.91","23.54","9573.0"
"01/04/2018 07","31.73","23.56","9884.0"
"01/04/2018 08","34.41","23.58","10308.0"
"01/04/2018 09","35.99","23.61","10589.0"
"01/04/2018 10","36.42","23.63","10556.0"
"01/04/2018 11","35.39","23.66","10539.0"
"01/04/2018 12","35.52","23.68","10496.0"
"01/04/2018 13","36.37","23.71","10486.0"
"01/04/2018 14","34.09","23.73","10453.0"
"01/04/2018 15","33.25","23.76","10437.0"
"01/04/2018 16","33.64","23.78","10514.0"
"01/04/2018 17","34.14","23.80","10733.0"
"01/04/2018 18","36.43","23.83","10994.0"
"01/04/2018 19","35.86","23.85","10919.0"
"01/04/2018 20","34.54","23.87","10866.0"
"01/04/2018 21","34.54","23.89","10748.0"
"01/04/2018 22","33.47","23.91","10525.0"
"01/04/2018 23","32.32","23.93","10230.0"
"01/04/2018 24","31.74","23.95","9895.0"
"01/05/2018 01","31.69","23.97","9623.0"
"01/05/2018 02","30.58","23.99","9544.0"
"01/05/2018 03","28.13","24.00","9448.0"
"01/05/2018 04","27.82","24.02","9411.0"
"01/05/2018 05","27.82","24.03","9461.0"
"01/05/2018 06","29.87","24.05","9641.0"
"01/05/2018 07","31.82","24.06","9976.0"
"01/05/2018 08","42.94","24.09","10411.0"
"01/05/2018 09","36.95","24.11","10571.0"
"01/05/2018 10","33.25","24.13","10577.0"
"01/05/2018 11","34.38","24.15","10637.0"
"01/05/2018 12","33.25","24.16","10689.0"
"01/05/2018 13","33.25","24.18","10645.0"
"01/05/2018 14","33.42","24.20","10574.0"
"01/05/2018 15","36.43","24.22","10570.0"
"01/05/2018 16","35.08","24.24","10604.0"
"01/05/2018 17","33.34","24.26","10754.0"
"01/05/2018 18","34.31","24.28","10966.0"
"01/05/2018 19","32.60","24.30","10843.0"
"01/05/2018 20","31.74","24.31","10712.0"
"01/05/2018 21","31.74","24.33","10594.0"
"01/05/2018 22","31.71","24.34","10386.0"
"01/05/2018 23","31.20","24.36","10087.0"
"01/05/2018 24","30.35","24.38","9771.0"
"01/06/2018 01","30.78","24.39","9525.0"
"01/06/2018 02","30.04","24.41","9363.0"
"01/06/2018 03","28.40","24.43","9217.0"
"01/06/2018 04","27.83","24.44","9185.0"
"01/06/2018 05","27.83","24.45","9190.0"
"01/06/2018 06","27.56","24.46","9221.0"
"01/06/2018 07","27.83","24.48","9334.0"
"01/06/2018 08","27.18","24.49","9624.0"
"01/06/2018 09","27.70","24.50","9848.0"
"01/06/2018 10","27.20","24.51","9925.0"
"01/06/2018 11","27.18","24.52","9960.0"
"01/06/2018 12","27.18","24.53","10029.0"
"01/06/2018 13","28.25","24.55","10046.0"
"01/06/2018 14","31.20","24.56","10012.0"
"01/06/2018 15","31.60","24.58","9957.0"
"01/06/2018 16","31.38","24.60","9994.0"
"01/06/2018 17","36.02","24.62","10198.0"
"01/06/2018 18","46.06","24.66","10596.0"
"01/06/2018 19","45.56","24.69","10516.0"
"01/06/2018 20","36.94","24.72","10375.0"
"01/06/2018 21","45.95","24.76","10219.0"
"01/06/2018 22","42.60","24.79","10057.0"
"01/06/2018 23","36.43","24.82","9856.0"
"01/06/2018 24","36.27","24.85","9577.0"
"01/07/2018 01","33.13","24.87","9375.0"
"01/07/2018 02","33.14","24.90","9212.0"
"01/07/2018 03","30.11","24.92","9138.0"
"01/07/2018 04","27.20","24.93","9112.0"
"01/07/2018 05","27.64","24.95","9135.0"
"01/07/2018 06","27.18","24.96","9155.0"
"01/07/2018 07","27.18","24.97","9270.0"
"01/07/2018 08","27.18","24.98","9453.0"
"01/07/2018 09","28.99","24.99","9655.0"
"01/07/2018 10","31.92","25.01","9756.0"
"01/07/2018 11","33.25","25.03","9833.0"
"01/07/2018 12","33.25","25.05","9908.0"
"01/07/2018 13","33.25","25.07","9931.0"
"01/07/2018 14","33.25","25.09","10001.0"
"01/07/2018 15","34.25","25.11","10019.0"
"01/07/2018 16","36.00","25.13","10097.0"
"01/07/2018 17","40.19","25.16","10369.0"
"01/07/2018 18","51.51","25.21","10774.0"
"01/07/2018 19","37.96","25.23","10625.0"
"01/07/2018 20","36.40","25.26","10529.0"
"01/07/2018 21","36.40","25.28","10389.0"
"01/07/2018 22","33.19","25.31","10204.0"
"01/07/2018 23","29.59","25.33","9865.0"
"01/07/2018 24","27.89","25.34","9534.0"
"01/08/2018 01","27.83","25.36","9352.0"
"01/08/2018 02","27.27","25.38","9261.0"
"01/08/2018 03","27.18","25.39","9219.0"
"01/08/2018 04","27.18","25.41","9212.0"
"01/08/2018 05","29.35","25.42","9264.0"
"01/08/2018 06","31.66","25.44","9460.0"
"01/08/2018 07","32.47","25.46","9951.0"
"01/08/2018 08","35.42","25.49","10463.0"
"01/08/2018 09","35.42","25.51","10638.0"
"01/08/2018 10","34.62","25.53","10575.0"
"01/08/2018 11","36.43","25.56","10625.0"
"01/08/2018 12","36.38","25.58","10664.0"
"01/08/2018 13","33.46","25.60","10646.0"
"01/08/2018 14","31.82","25.62","10685.0"
"01/08/2018 15","31.74","25.64","10631.0"
"01/08/2018 16","33.17","25.66","10686.0"
"01/08/2018 17","34.36","25.68","10953.0"
"01/08/2018 18","36.43","25.70","11225.0"
"01/08/2018 19","36.43","25.73","11052.0"
"01/08/2018 20","36.43","25.75","10914.0"
"01/08/2018 21","36.43","25.78","10732.0"
"01/08/2018 22","33.99","25.80","10497.0"
"01/08/2018 23","32.17","25.82","10136.0"
"01/08/2018 24","31.74","25.84","9801.0"
"01/09/2018 01","28.94","25.85","9577.0"
"01/09/2018 02","27.18","25.86","9455.0"
"01/09/2018 03","27.18","25.88","9422.0"
"01/09/2018 04","27.18","25.89","9429.0"
"01/09/2018 05","27.18","25.90","9467.0"
"01/09/2018 06","29.81","25.92","9637.0"
"01/09/2018 07","33.84","25.94","10047.0"
"01/09/2018 08","35.53","25.97","10569.0"
"01/09/2018 09","36.44","26.00","10769.0"
"01/09/2018 10","36.44","26.02","10789.0"
"01/09/2018 11","36.44","26.05","10811.0"
"01/09/2018 12","36.43","26.07","10894.0"
"01/09/2018 13","36.44","26.09","10891.0"
"01/09/2018 14","34.58","26.12","10873.0"
"01/09/2018 15","33.26","26.14","10891.0"
"01/09/2018 16","33.26","26.16","11040.0"
"01/09/2018 17","33.25","26.18","11203.0"
"01/09/2018 18","33.26","26.20","11522.0"
"01/09/2018 19","32.90","26.22","11510.0"
"01/09/2018 20","34.16","26.24","11420.0"
"01/09/2018 21","34.54","26.25","11310.0"
"01/09/2018 22","33.92","26.27","11037.0"
"01/09/2018 23","32.85","26.28","10709.0"
"01/09/2018 24","33.59","26.30","10390.0"
"01/10/2018 01","32.97","26.32","10215.0"
"01/10/2018 02","31.86","26.33","10138.0"
"01/10/2018 03","31.74","26.35","10115.0"
"01/10/2018 04","31.74","26.36","10122.0"
"01/10/2018 05","31.92","26.38","10147.0"
"01/10/2018 06","33.18","26.39","10324.0"
"01/10/2018 07","33.81","26.41","10681.0"
"01/10/2018 08","41.35","26.44","11182.0"
"01/10/2018 09","42.67","26.46","11344.0"
"01/10/2018 10","37.83","26.47","11257.0"
"01/10/2018 11","41.54","26.50","11272.0"
"01/10/2018 12","36.43","26.52","11308.0"
"01/10/2018 13","36.43","26.54","11217.0"
"01/10/2018 14","36.43","26.56","11196.0"
"01/10/2018 15","36.34","26.59","11159.0"
"01/10/2018 16","36.43","26.61","11246.0"
"01/10/2018 17","36.43","26.63","11323.0"
"01/10/2018 18","41.31","26.66","11557.0"
"01/10/2018 19","36.44","26.68","11430.0"
"01/10/2018 20","36.43","26.71","11343.0"
"01/10/2018 21","37.35","26.73","11279.0"
"01/10/2018 22","38.54","26.76","11072.0"
"01/10/2018 23","34.77","26.79","10718.0"
"01/10/2018 24","33.94","26.81","10423.0"
"01/11/2018 01","33.26","26.83","10233.0"
"01/11/2018 02","33.26","26.85","10141.0"
"01/11/2018 03","33.26","26.88","10114.0"
"01/11/2018 04","33.26","26.91","10104.0"
"01/11/2018 05","33.26","26.93","10188.0"
"01/11/2018 06","33.89","26.96","10378.0"
"01/11/2018 07","36.34","26.99","10740.0"
"01/11/2018 08","36.72","27.01","11202.0"
"01/11/2018 09","45.71","27.05","11406.0"
"01/11/2018 10","45.00","27.09","11361.0"
"01/11/2018 11","44.95","27.12","11394.0"
"01/11/2018 12","40.29","27.15","11364.0"
"01/11/2018 13","40.14","27.18","11314.0"
"01/11/2018 14","38.00","27.21","11294.0"
"01/11/2018 15","36.44","27.24","11339.0"
"01/11/2018 16","37.27","27.26","11374.0"
"01/11/2018 17","41.93","27.29","11499.0"
"01/11/2018 18","43.64","27.33","11697.0"
"01/11/2018 19","37.82","27.36","11621.0"
"01/11/2018 20","36.43","27.38","11527.0"
"01/11/2018 21","36.49","27.40","11382.0"
